table_name,column_name,data_type,row_count,non_null_count,missing_count,missing_pct,unique_count
customers,customer_id,str,99441,99441,0,0.0,99441
customers,customer_unique_id,str,99441,99441,0,0.0,96096
customers,customer_zip_code_prefix,int64,99441,99441,0,0.0,14994
customers,customer_city,str,99441,99441,0,0.0,4119
customers,customer_state,str,99441,99441,0,0.0,27
geolocation,geolocation_zip_code_prefix,int64,1000163,1000163,0,0.0,19015
geolocation,geolocation_lat,float64,1000163,1000163,0,0.0,717363
geolocation,geolocation_lng,float64,1000163,1000163,0,0.0,717615
geolocation,geolocation_city,str,1000163,1000163,0,0.0,8011
geolocation,geolocation_state,str,1000163,1000163,0,0.0,27
order_items,order_id,str,112650,112650,0,0.0,98666
order_items,order_item_id,int64,112650,112650,0,0.0,21
order_items,product_id,str,112650,112650,0,0.0,32951
order_items,seller_id,str,112650,112650,0,0.0,3095
order_items,shipping_limit_date,str,112650,112650,0,0.0,93318
order_items,price,float64,112650,112650,0,0.0,5968
order_items,freight_value,float64,112650,112650,0,0.0,6999
payments,order_id,str,103886,103886,0,0.0,99440
payments,payment_sequential,int64,103886,103886,0,0.0,29
payments,payment_type,str,103886,103886,0,0.0,5
payments,payment_installments,int64,103886,103886,0,0.0,24
payments,payment_value,float64,103886,103886,0,0.0,29077
reviews,review_id,str,99224,99224,0,0.0,98410
reviews,order_id,str,99224,99224,0,0.0,98673
reviews,review_score,int64,99224,99224,0,0.0,5
reviews,review_comment_title,str,99224,11568,87656,88.34,4527
reviews,review_comment_message,str,99224,40977,58247,58.7,36159
reviews,review_creation_date,str,99224,99224,0,0.0,636
reviews,review_answer_timestamp,str,99224,99224,0,0.0,98248
orders,order_id,str,99441,99441,0,0.0,99441
orders,customer_id,str,99441,99441,0,0.0,99441
orders,order_status,str,99441,99441,0,0.0,8
orders,order_purchase_timestamp,str,99441,99441,0,0.0,98875
orders,order_approved_at,str,99441,99281,160,0.16,90733
orders,order_delivered_carrier_date,str,99441,97658,1783,1.79,81018
orders,order_delivered_customer_date,str,99441,96476,2965,2.98,95664
orders,order_estimated_delivery_date,str,99441,99441,0,0.0,459
products,product_id,str,32951,32951,0,0.0,32951
products,product_category_name,str,32951,32341,610,1.85,73
products,product_name_lenght,float64,32951,32341,610,1.85,66
products,product_description_lenght,float64,32951,32341,610,1.85,2960
products,product_photos_qty,float64,32951,32341,610,1.85,19
products,product_weight_g,float64,32951,32949,2,0.01,2204
products,product_length_cm,float64,32951,32949,2,0.01,99
products,product_height_cm,float64,32951,32949,2,0.01,102
products,product_width_cm,float64,32951,32949,2,0.01,95
sellers,seller_id,str,3095,3095,0,0.0,3095
sellers,seller_zip_code_prefix,int64,3095,3095,0,0.0,2246
sellers,seller_city,str,3095,3095,0,0.0,611
sellers,seller_state,str,3095,3095,0,0.0,23
category_translation,product_category_name,str,71,71,0,0.0,71
category_translation,product_category_name_english,str,71,71,0,0.0,71
