seller_id,seller_city,seller_state,completed_order_count,customer_count,item_count,item_price_total,valid_delivery_order_count,late_delivery_rate_pct,average_delivery_days,shipping_limit_breach_rate_pct,reviewed_order_count,average_review_score,low_review_rate_pct,seller_revenue_rank,seller_revenue_share_pct,late_delivery_quartile,shipping_breach_quartile,low_review_quartile,operational_risk_score,is_high_value_seller,seller_risk_segment
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,973,962,1355,186570.05,972,9.16,22.31,29.70,967,3.50,25.44,5,1.4111,4,4,4,12,t,High-Value At Risk
7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,558,557,571,112436.18,549,11.66,15.73,14.87,555,4.04,17.12,14,0.8504,4,4,4,12,t,High-Value At Risk
8160255418d5aaa7dbdc9f4c64ebda44,ibitinga,SP,380,378,424,46368.39,377,13.79,16.24,24.47,376,3.95,17.02,41,0.3507,4,4,4,12,t,High-Value At Risk
712e6ed8aa4aa1fa65dab41fed5737e4,videira,SC,77,77,85,39385.00,77,20.78,24.60,19.48,76,3.39,35.53,58,0.2979,4,4,4,12,t,High-Value At Risk
2eb70248d66e0e3ef83659f71b244378,campinas,SP,187,186,197,38990.72,187,11.23,17.93,32.09,184,2.79,47.28,60,0.2949,4,4,4,12,t,High-Value At Risk
88460e8ebdecbfecb5f9601833981930,maringa,PR,246,240,300,31320.40,243,17.28,17.91,47.56,245,3.44,30.20,78,0.2369,4,4,4,12,t,High-Value At Risk
855668e0971d4dfd7bef1b6a4133b41b,itatiba,SP,300,297,311,30849.22,298,12.75,16.23,18.33,296,3.85,20.61,81,0.2333,4,4,4,12,t,High-Value At Risk
70a12e78e608ac31179aea7f8422044b,jacarei,SP,312,311,323,29963.53,310,9.35,14.74,17.31,310,3.81,19.68,83,0.2266,4,4,4,12,t,High-Value At Risk
4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,1772,1759,1949,196882.12,1756,9.79,14.49,8.69,1753,3.85,18.43,3,1.4891,4,3,4,11,t,High-Value At Risk
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,910,894,1420,138208.56,898,7.91,12.38,17.80,902,4.01,16.74,9,1.0453,3,4,4,11,t,High-Value At Risk
04308b1ee57b6625f47df1d56f00eedf,bombinhas,SC,92,92,92,58991.80,91,7.69,18.97,28.26,92,3.95,19.57,26,0.4462,3,4,4,11,t,High-Value At Risk
25c5c91f63607446a97b143d2d535d31,itauna,MG,156,150,266,54208.78,156,7.05,14.36,16.03,155,3.83,19.35,32,0.4100,3,4,4,11,t,High-Value At Risk
06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,MA,389,385,402,36097.98,370,20.00,18.01,31.11,385,4.01,16.10,66,0.2730,4,4,3,11,t,High-Value At Risk
76d5af76d0271110f9af36c92573f765,sao paulo,SP,128,122,155,31944.60,126,9.52,11.97,13.28,127,4.13,14.17,75,0.2416,4,4,3,11,t,High-Value At Risk
59b22a78efb79a4797979612b885db36,uberlandia,MG,125,125,133,27184.50,121,11.57,12.69,4.80,124,3.98,20.16,89,0.2056,4,3,4,11,t,High-Value At Risk
a416b6a846a11724393025641d4edd5e,sao paulo,SP,157,156,176,24930.24,155,10.97,12.57,12.10,157,4.22,14.01,99,0.1886,4,4,3,11,t,High-Value At Risk
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,1124,1117,1148,226987.93,1112,10.61,15.04,5.52,1116,4.15,13.08,1,1.7168,4,3,3,10,t,High-Value At Risk
522620dcb18a6b31cd7bdf73665113a9,cascavel,PR,172,171,178,56690.49,171,8.77,15.47,5.23,169,3.91,18.93,27,0.4288,3,3,4,10,t,High-Value At Risk
b2ba3715d723d245138f291a6fe42594,sao paulo,SP,324,323,350,49302.18,322,6.83,14.08,23.77,321,4.20,11.84,39,0.3729,3,4,3,10,t,High-Value At Risk
4e922959ae960d389249c378d1c939f5,jacarei,SP,412,411,446,45338.42,407,9.09,14.51,10.92,408,3.96,18.14,44,0.3429,3,3,4,10,t,High-Value At Risk
634964b17796e64304cadf1ad3050fb7,rio de janeiro,RJ,265,259,323,39114.10,265,9.43,14.54,10.19,265,4.06,15.09,59,0.2958,4,3,3,10,t,High-Value At Risk
e9bc59e7b60fc3063eb2290deda4cced,maringa,PR,209,206,260,33543.69,209,7.66,14.17,26.32,209,4.08,14.35,69,0.2537,3,4,3,10,t,High-Value At Risk
1835b56ce799e6a4dc4eddc053f04066,ibitinga,SP,417,415,551,33005.32,404,10.64,13.29,2.40,414,3.66,23.91,70,0.2496,4,2,4,10,t,High-Value At Risk
900ba814c251a692506d7834c1218441,salto,SP,86,86,86,28833.03,86,13.95,12.37,17.44,84,4.23,8.33,87,0.2181,4,4,2,10,t,High-Value At Risk
fa1c13f2614d7b5c4749cbc52fecda94,sumare,SP,578,575,579,190917.14,574,9.23,13.33,7.96,574,4.37,9.58,4,1.4440,4,3,2,9,t,Monitor
5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,SP,322,318,343,111126.73,322,5.59,11.62,4.35,318,4.01,19.18,15,0.8405,3,2,4,9,t,Monitor
1f50f920176fa81dab994f9023523100,sao jose do rio preto,SP,1399,1383,1926,106655.71,1391,8.91,15.75,10.86,1394,4.14,13.99,16,0.8067,3,3,3,9,t,Monitor
3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,SP,1064,1058,1131,93407.40,1057,5.49,13.47,12.88,1053,4.19,10.45,19,0.7065,3,4,2,9,t,Monitor
fe2032dab1a61af8794248c8196565c9,campinas,SP,293,292,305,65689.71,286,9.09,10.81,6.48,289,4.39,9.69,23,0.4968,4,3,2,9,t,Monitor
cca3071e3e9bb7d12640c9fbe2301306,ibitinga,SP,699,688,817,63035.16,697,4.88,14.16,6.72,688,3.88,18.90,25,0.4768,2,3,4,9,t,Monitor
17f51e7198701186712e53a39c564617,sao paulo,SP,56,56,61,48019.00,56,8.93,23.29,14.29,56,4.34,8.93,40,0.3632,3,4,2,9,t,Monitor
77530e9772f57a62c906e1c21538ab82,curitiba,PR,312,308,381,45676.60,305,9.51,15.15,1.60,312,4.15,14.74,43,0.3455,4,2,3,9,t,Monitor
c826c40d7b19f62a09e2d7c5e7295ee2,guarulhos,SP,346,346,365,44653.04,343,7.58,13.18,6.65,345,4.13,14.20,46,0.3377,3,3,3,9,t,Monitor
17a053fcb14bd219540cbde0df490be0,mogi guacu,SP,124,123,148,40353.24,122,5.74,12.33,16.94,122,4.25,9.84,54,0.3052,3,4,2,9,t,Monitor
391fc6631aebcf3004804e51b40bcf1e,ibitinga,SP,521,518,605,39475.30,512,8.79,14.46,6.14,518,4.05,14.67,57,0.2986,3,3,3,9,t,Monitor
7142540dd4c91e2237acb7e911c4eba2,penapolis,SP,316,313,328,37181.94,316,7.28,14.67,6.01,314,4.05,13.69,61,0.2812,3,3,3,9,t,Monitor
ea8482cd71df3c1969d7b9473ff13abc,sao paulo,SP,1132,1119,1188,36696.76,1107,8.67,13.32,7.69,1126,4.03,14.56,63,0.2776,3,3,3,9,t,Monitor
c70c1b0d8ca86052f45a432a38b73958,hortolandia,SP,260,252,336,36289.15,254,5.51,7.94,23.46,258,4.37,8.91,65,0.2745,3,4,2,9,t,Monitor
c3867b4666c7d76867627c2f7fb22e21,guara,SP,228,226,241,34666.90,228,10.96,15.32,4.39,226,4.08,15.49,67,0.2622,4,2,3,9,t,Monitor
9c0e69c7bf2619675bbadf47b43f655a,sao jose dos campos,SP,151,150,200,32720.40,151,8.61,14.54,23.18,150,4.17,10.67,73,0.2475,3,4,2,9,t,Monitor
2528513dd95219a6013d4d05176e391a,osasco,SP,160,160,166,32660.20,157,3.82,10.55,11.25,157,3.97,17.20,74,0.2470,2,3,4,9,t,Monitor
53e4c6e0f4312d4d2107a8c9cddf45cd,pedreira,SP,463,454,512,29587.77,461,4.77,12.00,20.95,461,4.13,12.80,84,0.2238,2,4,3,9,t,Monitor
d1c281d3ae149232351cd8c8cc885f0d,ibitinga,SP,214,211,239,26833.61,213,6.57,12.73,2.34,212,3.81,21.70,90,0.2030,3,2,4,9,t,Monitor
16090f2ca825584b5a147ab24aa30c86,atibaia,SP,398,396,406,25579.16,392,8.16,9.16,5.28,396,4.09,13.13,97,0.1935,3,3,3,9,t,Monitor
