table_name,column_name,data_type,missing_values
customers,customer_id,string,0
customers,customer_unique_id,string,0
customers,customer_zip_code_prefix,string,0
customers,customer_city,string,0
customers,customer_state,string,0
geolocation,geolocation_zip_code_prefix,string,0
geolocation,geolocation_lat,float64,0
geolocation,geolocation_lng,float64,0
geolocation,geolocation_city,string,0
geolocation,geolocation_state,string,0
order_items,order_id,string,0
order_items,order_item_id,int64,0
order_items,product_id,string,0
order_items,seller_id,string,0
order_items,shipping_limit_date,datetime64[us],0
order_items,price,float64,0
order_items,freight_value,float64,0
payments,order_id,string,0
payments,payment_sequential,int64,0
payments,payment_type,string,0
payments,payment_installments,int64,0
payments,payment_value,float64,0
reviews,review_id,string,0
reviews,order_id,string,0
reviews,review_score,int64,0
reviews,review_comment_title,string,87658
reviews,review_comment_message,string,58274
reviews,review_creation_date,datetime64[us],0
reviews,review_answer_timestamp,datetime64[us],0
orders,order_id,string,0
orders,customer_id,string,0
orders,order_status,string,0
orders,order_purchase_timestamp,datetime64[us],0
orders,order_approved_at,datetime64[us],160
orders,order_delivered_carrier_date,datetime64[us],1783
orders,order_delivered_customer_date,datetime64[us],2965
orders,order_estimated_delivery_date,datetime64[us],0
products,product_id,string,0
products,product_category_name,string,610
products,product_name_lenght,float64,610
products,product_description_lenght,float64,610
products,product_photos_qty,float64,610
products,product_weight_g,float64,2
products,product_length_cm,float64,2
products,product_height_cm,float64,2
products,product_width_cm,float64,2
sellers,seller_id,string,0
sellers,seller_zip_code_prefix,string,0
sellers,seller_city,string,0
sellers,seller_state,string,0
category_translation,product_category_name,string,0
category_translation,product_category_name_english,string,0
